# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	29585
#@/user_id	e99bcb09-d6ab-49a3-95df-5fff3ab5639a
a 	啊	c=132 d=1.22016 t=28797
a li 	阿里	c=2 d=1 t=23318
a li yun 	阿里雲	c=1 d=1 t=21157
a li yun pan 	阿里雲盤	c=1 d=1 t=19457
ai 	唉	c=10 d=1 t=22589
ai 	愛	c=1 d=1 t=4745
ai 	矮	c=7 d=3.27696 t=9317
ai 	艾	c=1 d=1 t=29046
ai cao 	艾草	c=1 d=1 t=29054
ai rui 	艾瑞	c=0 d=0.1 t=24696
ai rui ze 	艾瑞澤	c=1 d=1 t=24697
ai ya 	哎呀	c=1 d=1 t=7880
ai zhe 	挨着	c=1 d=1 t=21104
an 	安	c=2 d=1 t=24884
an 	按	c=7 d=1.00003 t=28027
an 	暗	c=1 d=1 t=22067
an li shuo 	按理說	c=1 d=1 t=17543
an niu 	按鈕	c=5 d=1.00001 t=11791
an pai 	安排	c=3 d=1 t=22334
an quan 	安全	c=12 d=1.00001 t=27548
an quan zuo yi 	安全座椅	c=2 d=1.83946 t=24733
an xia qu 	按下去	c=1 d=1 t=26198
an zhao 	按照	c=3 d=1 t=17792
an zhong 	暗中	c=1 d=1 t=13563
an zhuang 	安裝	c=36 d=1.92774 t=28581
an zhuang dao 	安裝到	c=1 d=1 t=861
an zhuo 	安卓	c=13 d=1.86502 t=28583
ba 	吧	c=155 d=2.53144 t=29570
ba 	把	c=60 d=2.27961 t=29211
ba 	拔	c=1 d=1 t=21248
ba 	爸	c=7 d=1 t=29479
ba dian 	八點	c=1 d=0.1 t=6656
ba dian zhi qian 	八點之前	c=1 d=1 t=6657
ba le 	罷了	c=1 d=1 t=589
ba ma 	爸媽	c=2 d=1 t=28119
bai 	唄	c=14 d=1 t=29255
bai 	擺	c=1 d=1 t=23541
bai 	白	c=2 d=1 t=21641
bai bai 	拜拜	c=1 d=1 t=21280
bai da 	白搭	c=2 d=1.9802 t=14139
bai du 	百度	c=4 d=1 t=23466
bai fen bi 	百分比	c=1 d=1 t=18865
bai fen lv 	百分率	c=1 d=1 t=18006
bai se 	白色	c=1 d=1 t=27910
bai tian zhao 	百天照	c=1 d=1 t=21649
bai tuo 	擺脫	c=1 d=1 t=15208
bai wan 	百萬	c=1 d=1 t=17295
bai ya 	唄牙	c=1 d=1 t=21640
ban 	半	c=3 d=1.02193 t=23717
ban 	板	c=0 d=0.1 t=474
ban 	版	c=2 d=0.1 t=24527
ban 	辦	c=13 d=1 t=20363
ban ben 	版本	c=14 d=1 t=28211
ban ben hao 	版本號	c=1 d=1 t=4652
